NO,NAMA_PENGGUNA,COMMENT,SENTIMEN,komen case folding,komen tokenized,komen normalized,komen stemming,komen bersih
462,@satriatarkam3818,Asli berat sbelah ni wasit banyak pukulan jefri yang masuk 👊,Negatif,asli berat sbelah ni wasit banyak pukulan jefri yang masuk 👊,"['asli', 'berat', 'sbelah', 'ni', 'wasit', 'banyak', 'pukulan', 'jefri', 'yang', 'masuk', '👊']","['asli', 'berat', 'sbelah', 'ni', 'wasit', 'pukulan', 'jefri', 'masuk']","['asli', 'berat', 'sbelah', 'ni', 'wasit', 'pukul', 'jefri', 'masuk']",asli berat sbelah ni wasit pukul jefri masuk
465,@muhammadrivan9583,Kayak setingan tunjuannya lemah,Negatif,kayak setingan tunjuannya lemah,"['kayak', 'setingan', 'tunjuannya', 'lemah']","['kayak', 'setingan', 'tunjuannya', 'lemah']","['kayak', 'ting', 'tunjuannya', 'lemah']",kayak ting tunjuannya lemah
469,@user-vq8yf4pj5n,Telingany El Rumi sakit dari tdi kkjhe teriak di telinganya si El rumi..😅😅,Negatif,telingany el rumi sakit dari tdi kkjhe teriak di telinganya si el rumi..😅😅,"['telingany', 'el', 'rumi', 'sakit', 'dari', 'tdi', 'kkjhe', 'teriak', 'di', 'telinganya', 'si', 'el', 'rumi', '..', '😅😅']","['telingany', 'el', 'rumi', 'sakit', 'tdi', 'kkjhe', 'teriak', 'telinganya', 'si', 'el', 'rumi']","['telingany', 'el', 'rumi', 'sakit', 'tdi', 'kkjhe', 'teriak', 'telinga', 'si', 'el', 'rumi']",telingany el rumi sakit tdi kkjhe teriak telinga si el rumi
470,@ISRAEL_HORSE_PENISS,Apaansi kaje mepet2 elrumi mulu wkwk. Sampe lagi umumin penilaian siapa yg menang dia malah ganggu ngoceh2 wkwk. Sipaling menggurui bgt sama paris juga gitu menggurui paris latihan buat lawan yunus,Negatif,apaansi kaje mepet2 elrumi mulu wkwk. sampe lagi umumin penilaian siapa yg menang dia malah ganggu ngoceh2 wkwk. sipaling menggurui bgt sama paris juga gitu menggurui paris latihan buat lawan yunus,"['apaansi', 'kaje', 'mepet2', 'elrumi', 'mulu', 'wkwk', '.', 'sampe', 'lagi', 'umumin', 'penilaian', 'siapa', 'yg', 'menang', 'dia', 'malah', 'ganggu', 'ngoceh2', 'wkwk', '.', 'sipaling', 'menggurui', 'bgt', 'sama', 'paris', 'juga', 'gitu', 'menggurui', 'paris', 'latihan', 'buat', 'lawan', 'yunus']","['apaansi', 'kaje', 'elrumi', 'mulu', 'wkwk', 'sampe', 'umumin', 'penilaian', 'yg', 'menang', 'ganggu', 'wkwk', 'sipaling', 'menggurui', 'bgt', 'paris', 'gitu', 'menggurui', 'paris', 'latihan', 'lawan', 'yunus']","['apaansi', 'kaje', 'elrumi', 'mulu', 'wkwk', 'sampe', 'umumin', 'nilai', 'yg', 'menang', 'ganggu', 'wkwk', 'sipaling', 'guru', 'bgt', 'paris', 'gitu', 'guru', 'paris', 'latih', 'lawan', 'yunus']",apaansi kaje elrumi mulu wkwk sampe umumin nilai yg menang ganggu wkwk sipaling guru bgt paris gitu guru paris latih lawan yunus
473,@ZulFS-cq4ik,sejak kecil el rumi sdh diajarin tinju .. beda lah el rumi lebih luwes di atas ring ..,Positif,sejak kecil el rumi sdh diajarin tinju .. beda lah el rumi lebih luwes di atas ring ..,"['sejak', 'kecil', 'el', 'rumi', 'sdh', 'diajarin', 'tinju', '..', 'beda', 'lah', 'el', 'rumi', 'lebih', 'luwes', 'di', 'atas', 'ring', '..']","['el', 'rumi', 'sdh', 'diajarin', 'tinju', 'beda', 'el', 'rumi', 'luwes', 'ring']","['el', 'rumi', 'sdh', 'diajarin', 'tinju', 'beda', 'el', 'rumi', 'luwes', 'ring']",el rumi sdh diajarin tinju beda el rumi luwes ring
474,@RMA789-jy8mk,"Buat petarung jalanan, Jefri dianggap menang. Tapi, jika sudut pandang sport, El pantas menang. Karena sport itu butuh taktik, bukan grabak grubuk ☝☝☝𝐑𝐌𝐀𝟕𝟖𝟗",Positif,"buat petarung jalanan, jefri dianggap menang. tapi, jika sudut pandang sport, el pantas menang. karena sport itu butuh taktik, bukan grabak grubuk ☝☝☝𝐑𝐌𝐀𝟕𝟖𝟗","['buat', 'petarung', 'jalanan', ',', 'jefri', 'dianggap', 'menang', '.', 'tapi', ',', 'jika', 'sudut', 'pandang', 'sport', ',', 'el', 'pantas', 'menang', '.', 'karena', 'sport', 'itu', 'butuh', 'taktik', ',', 'bukan', 'grabak', 'grubuk', '☝☝☝𝐑𝐌𝐀𝟕𝟖𝟗']","['petarung', 'jalanan', 'jefri', 'dianggap', 'menang', 'sudut', 'pandang', 'sport', 'el', 'menang', 'sport', 'butuh', 'taktik', 'grabak', 'grubuk']","['tarung', 'jalan', 'jefri', 'anggap', 'menang', 'sudut', 'pandang', 'sport', 'el', 'menang', 'sport', 'butuh', 'taktik', 'grabak', 'grubuk']",tarung jalan jefri anggap menang sudut pandang sport el menang sport butuh taktik grabak grubuk
475,@RMA789-zf9nt,"𝐑𝐌𝐀𝟕𝟖𝟗 Buat petarung jalanan, Jefri dianggap menang. Tapi, jika sudut pandang sport, El pantas menang. Karena sport itu butuh taktik, bukan grabak grubuk",Positif,"𝐑𝐌𝐀𝟕𝟖𝟗 buat petarung jalanan, jefri dianggap menang. tapi, jika sudut pandang sport, el pantas menang. karena sport itu butuh taktik, bukan grabak grubuk","['𝐑𝐌𝐀𝟕𝟖𝟗', 'buat', 'petarung', 'jalanan', ',', 'jefri', 'dianggap', 'menang', '.', 'tapi', ',', 'jika', 'sudut', 'pandang', 'sport', ',', 'el', 'pantas', 'menang', '.', 'karena', 'sport', 'itu', 'butuh', 'taktik', ',', 'bukan', 'grabak', 'grubuk']","['petarung', 'jalanan', 'jefri', 'dianggap', 'menang', 'sudut', 'pandang', 'sport', 'el', 'menang', 'sport', 'butuh', 'taktik', 'grabak', 'grubuk']","['tarung', 'jalan', 'jefri', 'anggap', 'menang', 'sudut', 'pandang', 'sport', 'el', 'menang', 'sport', 'butuh', 'taktik', 'grabak', 'grubuk']",tarung jalan jefri anggap menang sudut pandang sport el menang sport butuh taktik grabak grubuk
476,@RMA789_BANJIR.CUAN..,"☝☝☝Kesalahan Jefri ini cuma satu, dia gegabah. Terlalu membabi buta di awal tanpa memikirkan stamina sampai akhir ronde. Pukulannya asal melayang tanpa ada poin yg masuk.",Negatif,"☝☝☝kesalahan jefri ini cuma satu, dia gegabah. terlalu membabi buta di awal tanpa memikirkan stamina sampai akhir ronde. pukulannya asal melayang tanpa ada poin yg masuk.","['☝☝☝kesalahan', 'jefri', 'ini', 'cuma', 'satu', ',', 'dia', 'gegabah', '.', 'terlalu', 'membabi', 'buta', 'di', 'awal', 'tanpa', 'memikirkan', 'stamina', 'sampai', 'akhir', 'ronde', '.', 'pukulannya', 'asal', 'melayang', 'tanpa', 'ada', 'poin', 'yg', 'masuk', '.']","['jefri', 'gegabah', 'membabi', 'buta', 'memikirkan', 'stamina', 'ronde', 'pukulannya', 'melayang', 'poin', 'yg', 'masuk']","['jefri', 'gegabah', 'babi', 'buta', 'pikir', 'stamina', 'ronde', 'pukul', 'layang', 'poin', 'yg', 'masuk']",jefri gegabah babi buta pikir stamina ronde pukul layang poin yg masuk
477,@ciamamangresing,"Kesalahan Jefri ini cuma satu, dia gegabah. Terlalu membabi buta di awal tanpa memikirkan stamina sampai akhir ronde. Pukulannya asal melayang tanpa ada poin yg masuk. @𝐑𝐌𝐀𝟕𝟖𝟗",Negatif,"kesalahan jefri ini cuma satu, dia gegabah. terlalu membabi buta di awal tanpa memikirkan stamina sampai akhir ronde. pukulannya asal melayang tanpa ada poin yg masuk. @𝐑𝐌𝐀𝟕𝟖𝟗","['kesalahan', 'jefri', 'ini', 'cuma', 'satu', ',', 'dia', 'gegabah', '.', 'terlalu', 'membabi', 'buta', 'di', 'awal', 'tanpa', 'memikirkan', 'stamina', 'sampai', 'akhir', 'ronde', '.', 'pukulannya', 'asal', 'melayang', 'tanpa', 'ada', 'poin', 'yg', 'masuk', '.', '@', '𝐑𝐌𝐀𝟕𝟖𝟗']","['kesalahan', 'jefri', 'gegabah', 'membabi', 'buta', 'memikirkan', 'stamina', 'ronde', 'pukulannya', 'melayang', 'poin', 'yg', 'masuk']","['salah', 'jefri', 'gegabah', 'babi', 'buta', 'pikir', 'stamina', 'ronde', 'pukul', 'layang', 'poin', 'yg', 'masuk']",salah jefri gegabah babi buta pikir stamina ronde pukul layang poin yg masuk
478,@Yassa---,"El-Rumi menang karena beberapa kali jago menghindar, dengan mundur kebelakang secepat kilat sebelum pukulan Jefri Nichol mendarat. El-Rumi juga jago bermain teknik taunting (mengejek lawan) supaya bikin lawan emosi.  @𝐑𝐌𝐀𝟕𝟖𝟗",Positif,"el-rumi menang karena beberapa kali jago menghindar, dengan mundur kebelakang secepat kilat sebelum pukulan jefri nichol mendarat. el-rumi juga jago bermain teknik taunting (mengejek lawan) supaya bikin lawan emosi.  @𝐑𝐌𝐀𝟕𝟖𝟗","['el-rumi', 'menang', 'karena', 'beberapa', 'kali', 'jago', 'menghindar', ',', 'dengan', 'mundur', 'kebelakang', 'secepat', 'kilat', 'sebelum', 'pukulan', 'jefri', 'nichol', 'mendarat', '.', 'el-rumi', 'juga', 'jago', 'bermain', 'teknik', 'taunting', '(', 'mengejek', 'lawan', ')', 'supaya', 'bikin', 'lawan', 'emosi', '.', '@', '𝐑𝐌𝐀𝟕𝟖𝟗']","['menang', 'kali', 'jago', 'menghindar', 'mundur', 'kebelakang', 'secepat', 'kilat', 'pukulan', 'jefri', 'nichol', 'mendarat', 'jago', 'bermain', 'teknik', 'taunting', 'mengejek', 'lawan', 'bikin', 'lawan', 'emosi']","['menang', 'kali', 'jago', 'hindar', 'mundur', 'belakang', 'cepat', 'kilat', 'pukul', 'jefri', 'nichol', 'darat', 'jago', 'main', 'teknik', 'taunting', 'ejek', 'lawan', 'bikin', 'lawan', 'emosi']",menang kali jago hindar mundur belakang cepat kilat pukul jefri nichol darat jago main teknik taunting ejek lawan bikin lawan emosi
479,@dhittt-,"@𝐑𝐌𝐀𝟕𝟖𝟗
El-Rumi menang karena beberapa kali jago menghindar, dengan mundur kebelakang secepat kilat sebelum pukulan Jefri Nichol mendarat. El-Rumi juga jago bermain teknik taunting (mengejek lawan) supaya bikin lawan emosi. 

Disatu sisi, Jefri Nichol terlalu banyak memukul namun banyak yang miss, walaupun sekali pukulan kena itu bisa kuat berdamage, namun karena ada helm jadi kurang sakit. Selain itu Jefri kelelahan dan mudah terpancing emosi.

Selamat buat El-Rumi dan tetap semangat buat Jefri Nichol 💪🔥",Positif,"@𝐑𝐌𝐀𝟕𝟖𝟗
el-rumi menang karena beberapa kali jago menghindar, dengan mundur kebelakang secepat kilat sebelum pukulan jefri nichol mendarat. el-rumi juga jago bermain teknik taunting (mengejek lawan) supaya bikin lawan emosi. 

disatu sisi, jefri nichol terlalu banyak memukul namun banyak yang miss, walaupun sekali pukulan kena itu bisa kuat berdamage, namun karena ada helm jadi kurang sakit. selain itu jefri kelelahan dan mudah terpancing emosi.

selamat buat el-rumi dan tetap semangat buat jefri nichol 💪🔥","['@', '𝐑𝐌𝐀𝟕𝟖𝟗', 'el-rumi', 'menang', 'karena', 'beberapa', 'kali', 'jago', 'menghindar', ',', 'dengan', 'mundur', 'kebelakang', 'secepat', 'kilat', 'sebelum', 'pukulan', 'jefri', 'nichol', 'mendarat', '.', 'el-rumi', 'juga', 'jago', 'bermain', 'teknik', 'taunting', '(', 'mengejek', 'lawan', ')', 'supaya', 'bikin', 'lawan', 'emosi', '.', 'disatu', 'sisi', ',', 'jefri', 'nichol', 'terlalu', 'banyak', 'memukul', 'namun', 'banyak', 'yang', 'miss', ',', 'walaupun', 'sekali', 'pukulan', 'kena', 'itu', 'bisa', 'kuat', 'berdamage', ',', 'namun', 'karena', 'ada', 'helm', 'jadi', 'kurang', 'sakit', '.', 'selain', 'itu', 'jefri', 'kelelahan', 'dan', 'mudah', 'terpancing', 'emosi', '.', 'selamat', 'buat', 'el-rumi', 'dan', 'tetap', 'semangat', 'buat', 'jefri', 'nichol', '💪🔥']","['menang', 'kali', 'jago', 'menghindar', 'mundur', 'kebelakang', 'secepat', 'kilat', 'pukulan', 'jefri', 'nichol', 'mendarat', 'jago', 'bermain', 'teknik', 'taunting', 'mengejek', 'lawan', 'bikin', 'lawan', 'emosi', 'disatu', 'sisi', 'jefri', 'nichol', 'memukul', 'miss', 'pukulan', 'kena', 'kuat', 'berdamage', 'helm', 'sakit', 'jefri', 'kelelahan', 'mudah', 'terpancing', 'emosi', 'selamat', 'semangat', 'jefri', 'nichol']","['menang', 'kali', 'jago', 'hindar', 'mundur', 'belakang', 'cepat', 'kilat', 'pukul', 'jefri', 'nichol', 'darat', 'jago', 'main', 'teknik', 'taunting', 'ejek', 'lawan', 'bikin', 'lawan', 'emosi', 'satu', 'sisi', 'jefri', 'nichol', 'pukul', 'miss', 'pukul', 'kena', 'kuat', 'berdamage', 'helm', 'sakit', 'jefri', 'lelah', 'mudah', 'pancing', 'emosi', 'selamat', 'semangat', 'jefri', 'nichol']",menang kali jago hindar mundur belakang cepat kilat pukul jefri nichol darat jago main teknik taunting ejek lawan bikin lawan emosi satu sisi jefri nichol pukul miss pukul kena kuat berdamage helm sakit jefri lelah mudah pancing emosi selamat semangat jefri nichol
480,@RMA789_NIH.BESTIE,"☝☝☝Buat petarung jalanan, Jefri dianggap menang. Tapi, jika sudut pandang sport, El pantas menang. Karena sport itu butuh taktik, bukan grabak grubuk",Positif,"☝☝☝buat petarung jalanan, jefri dianggap menang. tapi, jika sudut pandang sport, el pantas menang. karena sport itu butuh taktik, bukan grabak grubuk","['☝☝☝buat', 'petarung', 'jalanan', ',', 'jefri', 'dianggap', 'menang', '.', 'tapi', ',', 'jika', 'sudut', 'pandang', 'sport', ',', 'el', 'pantas', 'menang', '.', 'karena', 'sport', 'itu', 'butuh', 'taktik', ',', 'bukan', 'grabak', 'grubuk']","['petarung', 'jalanan', 'jefri', 'dianggap', 'menang', 'sudut', 'pandang', 'sport', 'el', 'menang', 'sport', 'butuh', 'taktik', 'grabak', 'grubuk']","['tarung', 'jalan', 'jefri', 'anggap', 'menang', 'sudut', 'pandang', 'sport', 'el', 'menang', 'sport', 'butuh', 'taktik', 'grabak', 'grubuk']",tarung jalan jefri anggap menang sudut pandang sport el menang sport butuh taktik grabak grubuk
481,@coyyyous,"Jefri terlalu brutal hingga membuat staminanya habis , sementara El mampu menjaga staminanya, didalam boxing, stamina itu sangat diperlukan @𝐑𝐌𝐀𝟕𝟖𝟗",Positif,"jefri terlalu brutal hingga membuat staminanya habis , sementara el mampu menjaga staminanya, didalam boxing, stamina itu sangat diperlukan @𝐑𝐌𝐀𝟕𝟖𝟗","['jefri', 'terlalu', 'brutal', 'hingga', 'membuat', 'staminanya', 'habis', ',', 'sementara', 'el', 'mampu', 'menjaga', 'staminanya', ',', 'didalam', 'boxing', ',', 'stamina', 'itu', 'sangat', 'diperlukan', '@', '𝐑𝐌𝐀𝟕𝟖𝟗']","['jefri', 'brutal', 'staminanya', 'habis', 'el', 'menjaga', 'staminanya', 'didalam', 'boxing', 'stamina']","['jefri', 'brutal', 'stamina', 'habis', 'el', 'jaga', 'stamina', 'dalam', 'boxing', 'stamina']",jefri brutal stamina habis el jaga stamina dalam boxing stamina
482,@naraaa-,"Diluar ekspektasi ternyata Jefri Nichole setamina Habis hingga ronde 4 babak belur ... Pentingnya strategi agar tak terkuras tenaga. El lebih bisa mengontrol stamina. Sebenarnya pukulan lebih kuat Jefri tapi El lebih cerdik. Pantas kalo El yg menang, ternyata kuat saja belum jaminan utk menang. @𝐑𝐌𝐀𝟕𝟖𝟗",Positif,"diluar ekspektasi ternyata jefri nichole setamina habis hingga ronde 4 babak belur ... pentingnya strategi agar tak terkuras tenaga. el lebih bisa mengontrol stamina. sebenarnya pukulan lebih kuat jefri tapi el lebih cerdik. pantas kalo el yg menang, ternyata kuat saja belum jaminan utk menang. @𝐑𝐌𝐀𝟕𝟖𝟗","['diluar', 'ekspektasi', 'ternyata', 'jefri', 'nichole', 'setamina', 'habis', 'hingga', 'ronde', '4', 'babak', 'belur', '...', 'pentingnya', 'strategi', 'agar', 'tak', 'terkuras', 'tenaga', '.', 'el', 'lebih', 'bisa', 'mengontrol', 'stamina', '.', 'sebenarnya', 'pukulan', 'lebih', 'kuat', 'jefri', 'tapi', 'el', 'lebih', 'cerdik', '.', 'pantas', 'kalo', 'el', 'yg', 'menang', ',', 'ternyata', 'kuat', 'saja', 'belum', 'jaminan', 'utk', 'menang', '.', '@', '𝐑𝐌𝐀𝟕𝟖𝟗']","['diluar', 'ekspektasi', 'jefri', 'nichole', 'setamina', 'habis', 'ronde', 'babak', 'belur', 'strategi', 'terkuras', 'tenaga', 'el', 'mengontrol', 'stamina', 'pukulan', 'kuat', 'jefri', 'el', 'cerdik', 'kalo', 'el', 'yg', 'menang', 'kuat', 'jaminan', 'utk', 'menang']","['luar', 'ekspektasi', 'jefri', 'nichole', 'setamina', 'habis', 'ronde', 'babak', 'bur', 'strategi', 'kuras', 'tenaga', 'el', 'kontrol', 'stamina', 'pukul', 'kuat', 'jefri', 'el', 'cerdik', 'kalo', 'el', 'yg', 'menang', 'kuat', 'jamin', 'utk', 'menang']",luar ekspektasi jefri nichole setamina habis ronde babak bur strategi kuras tenaga el kontrol stamina pukul kuat jefri el cerdik kalo el yg menang kuat jamin utk menang
483,@RMA789-jy8mk,"Kesalahan Jefri ini cuma satu, dia gegabah. Terlalu membabi buta di awal tanpa memikirkan stamina sampai akhir ronde. Pukulannya asal melayang tanpa ada poin yg masuk.𝐑𝐌𝐀𝟕𝟖𝟗",Negatif,"kesalahan jefri ini cuma satu, dia gegabah. terlalu membabi buta di awal tanpa memikirkan stamina sampai akhir ronde. pukulannya asal melayang tanpa ada poin yg masuk.𝐑𝐌𝐀𝟕𝟖𝟗","['kesalahan', 'jefri', 'ini', 'cuma', 'satu', ',', 'dia', 'gegabah', '.', 'terlalu', 'membabi', 'buta', 'di', 'awal', 'tanpa', 'memikirkan', 'stamina', 'sampai', 'akhir', 'ronde', '.', 'pukulannya', 'asal', 'melayang', 'tanpa', 'ada', 'poin', 'yg', 'masuk.𝐑𝐌𝐀𝟕𝟖𝟗']","['kesalahan', 'jefri', 'gegabah', 'membabi', 'buta', 'memikirkan', 'stamina', 'ronde', 'pukulannya', 'melayang', 'poin', 'yg']","['salah', 'jefri', 'gegabah', 'babi', 'buta', 'pikir', 'stamina', 'ronde', 'pukul', 'layang', 'poin', 'yg']",salah jefri gegabah babi buta pikir stamina ronde pukul layang poin yg
484,@southyeolsel,"Buat petarung jalanan, Jefri dianggap menang. Tapi, jika sudut pandang sport, El pantas menang. Karena sport itu butuh taktik, bukan grabak grubuk @𝐑𝐌𝐀𝟕𝟖𝟗",Positif,"buat petarung jalanan, jefri dianggap menang. tapi, jika sudut pandang sport, el pantas menang. karena sport itu butuh taktik, bukan grabak grubuk @𝐑𝐌𝐀𝟕𝟖𝟗","['buat', 'petarung', 'jalanan', ',', 'jefri', 'dianggap', 'menang', '.', 'tapi', ',', 'jika', 'sudut', 'pandang', 'sport', ',', 'el', 'pantas', 'menang', '.', 'karena', 'sport', 'itu', 'butuh', 'taktik', ',', 'bukan', 'grabak', 'grubuk', '@', '𝐑𝐌𝐀𝟕𝟖𝟗']","['petarung', 'jalanan', 'jefri', 'dianggap', 'menang', 'sudut', 'pandang', 'sport', 'el', 'menang', 'sport', 'butuh', 'taktik', 'grabak', 'grubuk']","['tarung', 'jalan', 'jefri', 'anggap', 'menang', 'sudut', 'pandang', 'sport', 'el', 'menang', 'sport', 'butuh', 'taktik', 'grabak', 'grubuk']",tarung jalan jefri anggap menang sudut pandang sport el menang sport butuh taktik grabak grubuk
485,@epinluneto,"yaelahhh🤦‍♂️
fikir² aja dlu mau lawan Randi Pangalila, atw mendingan jngan deh kasihan Jefri nya, dibikin samsak nnti",Negatif,"yaelahhh🤦‍♂️
fikir² aja dlu mau lawan randi pangalila, atw mendingan jngan deh kasihan jefri nya, dibikin samsak nnti","['yaelahhh🤦\u200d♂️', 'fikir²', 'aja', 'dlu', 'mau', 'lawan', 'randi', 'pangalila', ',', 'atw', 'mendingan', 'jngan', 'deh', 'kasihan', 'jefri', 'nya', ',', 'dibikin', 'samsak', 'nnti']","['aja', 'dlu', 'lawan', 'randi', 'pangalila', 'atw', 'mendingan', 'jngan', 'deh', 'kasihan', 'jefri', 'nya', 'dibikin', 'samsak', 'nnti']","['aja', 'dlu', 'lawan', 'randi', 'pangalila', 'atw', 'mending', 'jngan', 'deh', 'kasihan', 'jefri', 'nya', 'bikin', 'samsak', 'nnti']",aja dlu lawan randi pangalila atw mending jngan deh kasihan jefri nya bikin samsak nnti
486,@RMA789-zf9nt,Tatapan Al ke El sehabis ronde ke empat bikin terenyuh😢 dia seperti nahan nangis liat adeknya😢 sweet banget persaudaraan mereka❤😫𝐑𝐌𝐀𝟕𝟖𝟗,Positif,tatapan al ke el sehabis ronde ke empat bikin terenyuh😢 dia seperti nahan nangis liat adeknya😢 sweet banget persaudaraan mereka❤😫𝐑𝐌𝐀𝟕𝟖𝟗,"['tatapan', 'al', 'ke', 'el', 'sehabis', 'ronde', 'ke', 'empat', 'bikin', 'terenyuh😢', 'dia', 'seperti', 'nahan', 'nangis', 'liat', 'adeknya😢', 'sweet', 'banget', 'persaudaraan', 'mereka❤😫𝐑𝐌𝐀𝟕𝟖𝟗']","['tatapan', 'al', 'el', 'sehabis', 'ronde', 'bikin', 'nahan', 'nangis', 'liat', 'sweet', 'banget', 'persaudaraan']","['tatap', 'al', 'el', 'habis', 'ronde', 'bikin', 'nahan', 'nang', 'liat', 'sweet', 'banget', 'saudara']",tatap al el habis ronde bikin nahan nang liat sweet banget saudara
487,@RMA789.TERBA1KK,"~Kesalahan Jefri ini cuma satu, dia gegabah. Terlalu membabi buta di awal tanpa memikirkan stamina sampai akhir ronde. @𝐑𝐌𝐀𝟕𝟖𝟗",Negatif,"~kesalahan jefri ini cuma satu, dia gegabah. terlalu membabi buta di awal tanpa memikirkan stamina sampai akhir ronde. @𝐑𝐌𝐀𝟕𝟖𝟗","['~kesalahan', 'jefri', 'ini', 'cuma', 'satu', ',', 'dia', 'gegabah', '.', 'terlalu', 'membabi', 'buta', 'di', 'awal', 'tanpa', 'memikirkan', 'stamina', 'sampai', 'akhir', 'ronde', '.', '@', '𝐑𝐌𝐀𝟕𝟖𝟗']","['jefri', 'gegabah', 'membabi', 'buta', 'memikirkan', 'stamina', 'ronde']","['jefri', 'gegabah', 'babi', 'buta', 'pikir', 'stamina', 'ronde']",jefri gegabah babi buta pikir stamina ronde
488,@RMA789.SIGACOR,~TETAPLAH semangat bosku ngontennya! Semoga membantu para viewers untuk semangat terus dalam berkaryaa!!! 🎯𝐑𝐌𝐀𝟕𝟖𝟗,Positif,~tetaplah semangat bosku ngontennya! semoga membantu para viewers untuk semangat terus dalam berkaryaa!!! 🎯𝐑𝐌𝐀𝟕𝟖𝟗,"['~tetaplah', 'semangat', 'bosku', 'ngontennya', '!', 'semoga', 'membantu', 'para', 'viewers', 'untuk', 'semangat', 'terus', 'dalam', 'berkaryaa', '!', '!', '!', '🎯𝐑𝐌𝐀𝟕𝟖𝟗']","['semangat', 'bosku', 'ngontennya', 'semoga', 'membantu', 'viewers', 'semangat', 'berkaryaa']","['semangat', 'bos', 'ngontennya', 'moga', 'bantu', 'viewers', 'semangat', 'berkaryaa']",semangat bos ngontennya moga bantu viewers semangat berkaryaa
489,@S1TUS.RMA789,~Semangat buat kontennyaa bang aku sangat terhibur saat nonton video abang... Oh iya beneran baguus tuh!! @𝐑𝐌𝐀𝟕𝟖𝟗,Positif,~semangat buat kontennyaa bang aku sangat terhibur saat nonton video abang... oh iya beneran baguus tuh!! @𝐑𝐌𝐀𝟕𝟖𝟗,"['~semangat', 'buat', 'kontennyaa', 'bang', 'aku', 'sangat', 'terhibur', 'saat', 'nonton', 'video', 'abang', '...', 'oh', 'iya', 'beneran', 'baguus', 'tuh', '!', '!', '@', '𝐑𝐌𝐀𝟕𝟖𝟗']","['kontennyaa', 'bang', 'terhibur', 'nonton', 'video', 'abang', 'oh', 'iya', 'beneran', 'baguus', 'tuh']","['kontennyaa', 'bang', 'hibur', 'nonton', 'video', 'abang', 'oh', 'iya', 'beneran', 'baguus', 'tuh']",kontennyaa bang hibur nonton video abang oh iya beneran baguus tuh
490,@MAXW1N-RMA789,☝~MANTAP BANGET INI BANG. BAGIAN TERHEBAT YANG HARUS KAMU COBA! @𝐑𝐌𝐀𝟕𝟖𝟗,Positif,☝~mantap banget ini bang. bagian terhebat yang harus kamu coba! @𝐑𝐌𝐀𝟕𝟖𝟗,"['☝~mantap', 'banget', 'ini', 'bang', '.', 'bagian', 'terhebat', 'yang', 'harus', 'kamu', 'coba', '!', '@', '𝐑𝐌𝐀𝟕𝟖𝟗']","['banget', 'bang', 'terhebat', 'coba']","['banget', 'bang', 'hebat', 'coba']",banget bang hebat coba
491,@pamanahrasa6439,Kje ngapain ada di ring? Dia gak tanding kan? Ko so sibuk bener dah.. Caper banget perasaan,Positif,kje ngapain ada di ring? dia gak tanding kan? ko so sibuk bener dah.. caper banget perasaan,"['kje', 'ngapain', 'ada', 'di', 'ring', '?', 'dia', 'gak', 'tanding', 'kan', '?', 'ko', 'so', 'sibuk', 'bener', 'dah', '..', 'caper', 'banget', 'perasaan']","['kje', 'ngapain', 'ring', 'gak', 'tanding', 'ko', 'so', 'sibuk', 'bener', 'dah', 'caper', 'banget', 'perasaan']","['kje', 'ngapain', 'ring', 'gak', 'tanding', 'ko', 'so', 'sibuk', 'bener', 'dah', 'caper', 'banget', 'asa']",kje ngapain ring gak tanding ko so sibuk bener dah caper banget asa
492,@sahrildompu6112,"Vix ini curang sihhh,,,harusnya Jefri yg menang,,,,",Negatif,"vix ini curang sihhh,,,harusnya jefri yg menang,,,,","['vix', 'ini', 'curang', 'sihhh', ',', ',', ',', 'harusnya', 'jefri', 'yg', 'menang', ',', ',', ',', ',']","['vix', 'curang', 'sihhh', 'jefri', 'yg', 'menang']","['vix', 'curang', 'sihhh', 'jefri', 'yg', 'menang']",vix curang sihhh jefri yg menang
493,@yunifatresia6389,Yg topi hitam udah bang udaah,Negatif,yg topi hitam udah bang udaah,"['yg', 'topi', 'hitam', 'udah', 'bang', 'udaah']","['yg', 'topi', 'hitam', 'udah', 'bang', 'udaah']","['yg', 'topi', 'hitam', 'udah', 'bang', 'udaah']",yg topi hitam udah bang udaah
494,@Realme12-ik5gj,Ga sesuai harapan hasilnya,Negatif,ga sesuai harapan hasilnya,"['ga', 'sesuai', 'harapan', 'hasilnya']","['ga', 'sesuai', 'harapan', 'hasilnya']","['ga', 'sesuai', 'harap', 'hasil']",ga sesuai harap hasil
495,@user-kv5ts6lz1j,Di luar point yg dilihat..🤣🤣,Negatif,di luar point yg dilihat..🤣🤣,"['di', 'luar', 'point', 'yg', 'dilihat', '..', '🤣🤣']","['point', 'yg']","['point', 'yg']",point yg
496,@ikafitria7251,Jefri tetap di hati.,Positif,jefri tetap di hati.,"['jefri', 'tetap', 'di', 'hati', '.']","['jefri', 'hati']","['jefri', 'hati']",jefri hati
